Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
misplaced,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,483,119,0.035676600000442704,182
euclidean,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,335,87,0.0197864000001573,124
manhattan,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,337,93,0.020380800000566524,122
out_of_position,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,331,79,0.021948000001430046,126
misplaced,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,177,49,0.008682299998326926,64
euclidean,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,89,25,0.00298060000204714,32
manhattan,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,97,27,0.002449999999953434,35
out_of_position,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,119,33,0.00458720000096946,43
misplaced,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,417,105,0.030454600000666687,156
euclidean,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,176,48,0.006397499997547129,64
manhattan,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,117,29,0.004352399999334011,44
out_of_position,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,146,36,0.004652199997508433,55
misplaced,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,229,55,0.010343999998440268,87
euclidean,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,165,45,0.008083000000624452,60
manhattan,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,187,49,0.011807899998530047,69
out_of_position,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,159,41,0.010933499997918261,59
misplaced,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.00032389999978477135,9
euclidean,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0003342000018164981,5
manhattan,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0005128999982844107,5
out_of_position,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00026950000028591603,5
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,78,22,0.0019008999988727737,28
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,48,16,0.0009166999989247415,16
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,56,18,0.0010533999993640464,19
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,46,14,0.0008537000030628406,16
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,40,12,0.0006304000016825739,14
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,29,11,0.0004805999997188337,9
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,32,12,0.0005021999968448654,10
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,26,10,0.0007221999985631555,8
misplaced,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.0005220999992161524,9
euclidean,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0005166000009921845,5
manhattan,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0002612000025692396,5
out_of_position,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00025770000138436444,5
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.00017430000298190862,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.0002782000010483898,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.00043679999726009555,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.00026870000147027895,6
misplaced,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,390,102,0.029339199998503318,144
euclidean,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,69,21,0.0028536999998323154,24
manhattan,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,74,22,0.002844300001015654,26
out_of_position,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,124,32,0.0032611000024189707,46
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 8 |
-------------
| 4 |   | 6 |
-------------",11,166,48,0.010429399997519795,59
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 8 |
-------------
| 4 |   | 6 |
-------------",11,91,27,0.0055382999998983,32
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 8 |
-------------
| 4 |   | 6 |
-------------",11,87,25,0.006458399999246467,31
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 8 |
-------------
| 4 |   | 6 |
-------------",11,94,26,0.01151920000120299,34
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",9,82,22,0.003886499998770887,30
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",9,81,23,0.004839100001845509,29
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",9,88,24,0.006270099998801015,32
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",9,55,15,0.0024341999996977393,20
misplaced,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",13,378,91,0.06204839999918477,144
euclidean,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",13,163,43,0.024174199999833945,60
manhattan,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",13,163,43,0.01103299999886076,60
out_of_position,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 8 | 7 |
-------------
| 6 |   | 4 |
-------------",13,164,40,0.016004299999622162,62
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,23,9,0.0004239999980200082,7
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,19,7,0.0006267999997362494,6
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,22,8,0.0006896000013512094,7
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,19,7,0.000687400002789218,6
misplaced,"-------------
| 2 | 5 | 8 |
-------------
| 3 | 1 |   |
-------------
| 7 | 4 | 6 |
-------------",17,2241,503,0.8264010999992024,869
euclidean,"-------------
| 2 | 5 | 8 |
-------------
| 3 | 1 |   |
-------------
| 7 | 4 | 6 |
-------------",17,581,147,0.05962350000118022,217
manhattan,"-------------
| 2 | 5 | 8 |
-------------
| 3 | 1 |   |
-------------
| 7 | 4 | 6 |
-------------",17,620,154,0.06465790000220295,233
out_of_position,"-------------
| 2 | 5 | 8 |
-------------
| 3 | 1 |   |
-------------
| 7 | 4 | 6 |
-------------",17,965,217,0.1936191000022518,374
misplaced,"-------------
| 1 |   | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 | 3 | 8 |
-------------",13,588,144,0.06582049999997253,222
euclidean,"-------------
| 1 |   | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 | 3 | 8 |
-------------",13,331,81,0.020581800003128592,125
manhattan,"-------------
| 1 |   | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 | 3 | 8 |
-------------",13,310,76,0.021000299999286653,117
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 4 | 7 | 5 |
-------------
| 6 | 3 | 8 |
-------------",13,349,79,0.0219303999983822,135
misplaced,"-------------
| 6 | 3 | 2 |
-------------
| 7 | 1 | 5 |
-------------
| 4 |   | 8 |
-------------",9,87,25,0.0015985999998520128,31
euclidean,"-------------
| 6 | 3 | 2 |
-------------
| 7 | 1 | 5 |
-------------
| 4 |   | 8 |
-------------",9,41,13,0.0007278000011865515,14
manhattan,"-------------
| 6 | 3 | 2 |
-------------
| 7 | 1 | 5 |
-------------
| 4 |   | 8 |
-------------",9,27,9,0.0004899000014120247,9
out_of_position,"-------------
| 6 | 3 | 2 |
-------------
| 7 | 1 | 5 |
-------------
| 4 |   | 8 |
-------------",9,46,14,0.0008687999979883898,16
misplaced,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,47,15,0.0007691999999224208,16
euclidean,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,36,12,0.0005959999980404973,12
manhattan,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,33,11,0.0006974999996600673,11
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,35,11,0.0005616999987978488,12
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,44,14,0.0005727999996452127,15
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,33,11,0.0008913000019674655,11
manhattan,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,33,11,0.0005307000028551556,11
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
|   | 6 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,36,12,0.0012399999977787957,12
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 5 |
-------------",7,36,12,0.0004597000006469898,12
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 5 |
-------------",7,37,13,0.0006936999998288229,12
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 5 |
-------------",7,43,13,0.0008230000021285377,15
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 8 | 7 |
-------------
| 6 |   | 5 |
-------------",7,29,11,0.0005273000024317298,9
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,4.360000093583949e-05,1
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.800000093993731e-05,1
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00011910000102943741,1
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,5.560000136028975e-05,1
misplaced,"-------------
| 1 |   | 2 |
-------------
| 7 | 4 | 5 |
-------------
| 3 | 6 | 8 |
-------------",7,51,17,0.000787799999670824,17
euclidean,"-------------
| 1 |   | 2 |
-------------
| 7 | 4 | 5 |
-------------
| 3 | 6 | 8 |
-------------",7,38,12,0.0007043000005069189,13
manhattan,"-------------
| 1 |   | 2 |
-------------
| 7 | 4 | 5 |
-------------
| 3 | 6 | 8 |
-------------",7,38,12,0.0006510999992315192,13
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 7 | 4 | 5 |
-------------
| 3 | 6 | 8 |
-------------",7,38,12,0.0006076000026951078,13
misplaced,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 6 | 8 | 4 |
-------------",11,182,48,0.006066199999622768,67
euclidean,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 6 | 8 | 4 |
-------------",11,114,32,0.003032500000699656,41
manhattan,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 6 | 8 | 4 |
-------------",11,95,27,0.003071200000704266,34
out_of_position,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 6 | 8 | 4 |
-------------",11,104,28,0.0025402999999641906,38
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,23,9,0.00026499999876250513,7
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,19,7,0.00041340000097989105,6
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,22,8,0.0005284000035317149,7
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 7 | 5 |
-------------
| 4 | 6 | 8 |
-------------",5,19,7,0.0003724000016518403,6
misplaced,"-------------
| 4 | 3 | 2 |
-------------
|   | 7 | 5 |
-------------
| 1 | 6 | 8 |
-------------",9,108,30,0.0027472000001580454,39
euclidean,"-------------
| 4 | 3 | 2 |
-------------
|   | 7 | 5 |
-------------
| 1 | 6 | 8 |
-------------",9,51,17,0.0026060000018333085,17
manhattan,"-------------
| 4 | 3 | 2 |
-------------
|   | 7 | 5 |
-------------
| 1 | 6 | 8 |
-------------",9,42,14,0.0007680000016989652,14
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
|   | 7 | 5 |
-------------
| 1 | 6 | 8 |
-------------",9,55,17,0.0010581999995338265,19
misplaced,"-------------
| 5 |   | 1 |
-------------
| 3 | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,118,30,0.003064299999095965,44
euclidean,"-------------
| 5 |   | 1 |
-------------
| 3 | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,77,23,0.0031218999974953476,27
manhattan,"-------------
| 5 |   | 1 |
-------------
| 3 | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,84,26,0.0018831000015779864,29
out_of_position,"-------------
| 5 |   | 1 |
-------------
| 3 | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",9,97,25,0.0022782000014558434,36
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,78,21,0.001637599998502992,29
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,52,16,0.001089900000806665,18
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,53,17,0.0010015000007115304,18
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 6 |   |
-------------
| 4 | 8 | 5 |
-------------",9,42,12,0.0007665000011911616,15
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.750000077066943e-05,1
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00012559999959194101,1
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00011989999984507449,1
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,8.50000033096876e-05,1
misplaced,"-------------
| 5 |   | 2 |
-------------
| 1 | 4 | 3 |
-------------
| 6 | 7 | 8 |
-------------",13,542,130,0.051751399998465786,206
euclidean,"-------------
| 5 |   | 2 |
-------------
| 1 | 4 | 3 |
-------------
| 6 | 7 | 8 |
-------------",13,244,66,0.012197000000014668,89
manhattan,"-------------
| 5 |   | 2 |
-------------
| 1 | 4 | 3 |
-------------
| 6 | 7 | 8 |
-------------",13,216,60,0.012582999999722233,78
out_of_position,"-------------
| 5 |   | 2 |
-------------
| 1 | 4 | 3 |
-------------
| 6 | 7 | 8 |
-------------",13,297,75,0.01649179999731132,111
misplaced,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,47,15,0.0007791999996697996,16
euclidean,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,36,12,0.0007535000004281756,12
manhattan,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,33,11,0.0007495999998354819,11
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,35,11,0.000931700000364799,12
misplaced,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,89,29,0.0018667000003915746,30
euclidean,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,51,17,0.0009921999990183394,17
manhattan,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,44,14,0.0007970000006025657,15
out_of_position,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,48,14,0.0008389999966311734,17
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00020869999934802763,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0005694999999832362,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00048009999954956584,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0005000999990443233,6
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0001993000005313661,3
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.00032619999910821207,3
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0002010000025620684,3
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0002710999979171902,3
